,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Gardnerella_piotii.1,1,359,2028,288,1283,1832,2014,2228,2853
Gardnerella_piotii.2,2,284,1896,319,1120,1689,1871,2136,2735
Gardnerella_piotii.3,3,262,2093,383,1142,1823,2076,2404,3044
Gardnerella_piotii.4,4,178,1443,209,913,1319,1448,1593,2319
Gardnerella_sp003585735.1,1,68,1205,150,776,1107,1202,1298,1521
Gardnerella_sp003585735.2,2,50,1387,178,921,1260,1420,1514,1659
Gardnerella_sp003585735.3,3,41,1136,102,887,1072,1141,1219,1319
Gardnerella_sp003585845.1,1,91,958,45,850,928,956,984,1085
Gardnerella_sp003585845.2,2,55,1056,83,852,994,1053,1110,1293
Gardnerella_sp003585845.3,3,16,1112,95,973,1018,1103,1183,1258
Gardnerella_sp003585845.4,4,13,965,66,874,906,969,987,1091
Gardnerella_sp003585845.5,5,13,953,59,883,900,932,1013,1051
Gardnerella_spNov2.1,1,19,994,51,865,970,1001,1034,1049
Gardnerella_spNov2.2,2,60,1082,36,1007,1064,1078,1106,1180
Gardnerella_swidsinkii.1,1,90,1142,61,963,1108,1152,1184,1336
Gardnerella_swidsinkii.2,2,54,1001,65,902,953,998,1027,1204
Gardnerella_swidsinkii.3,3,52,1111,86,913,1057,1110,1169,1359
Gardnerella_swidsinkii.4,4,41,1112,84,951,1043,1114,1199,1261
Gardnerella_swidsinkii.5,5,38,1159,109,948,1065,1158,1238,1342
Gardnerella_swidsinkii.6,6,32,1054,74,890,1014,1060,1110,1180
Gardnerella_swidsinkii.7,7,29,1120,90,971,1035,1127,1188,1291
Gardnerella_swidsinkii.8,8,26,1201,111,925,1142,1201,1256,1401
Gardnerella_swidsinkii.9,9,22,1079,99,908,991,1090,1177,1223
Gardnerella_swidsinkii.10,10,22,1152,84,924,1118,1158,1217,1272
Gardnerella_swidsinkii.11,11,21,979,62,853,942,991,1022,1092
Gardnerella_swidsinkii.12,12,17,1079,59,957,1048,1088,1123,1157
Gardnerella_swidsinkii.13,13,12,1099,72,950,1041,1126,1143,1186
Gardnerella_swidsinkii.14,14,11,1083,63,970,1038,1087,1134,1166
Gardnerella_vaginalis.1,1,610,1915,317,1099,1704,1925,2148,2726
Gardnerella_vaginalis.2,2,609,1965,346,1037,1725,1996,2195,2909
Gardnerella_vaginalis_A.1,1,286,1382,84,1081,1329,1388,1436,1659
Gardnerella_vaginalis_A.2,2,118,1510,75,1252,1465,1504,1564,1673
Gardnerella_vaginalis_A.3,3,83,1194,77,1014,1144,1189,1231,1379
