dtc,meanRelabund,domTaxa,minClusterSize,deepSplit,mgCST
9,0.6937091744137587,Lactobacillus_iners_6,24,1,13
2,0.5072308267439688,Lactobacillus_iners_7,24,1,14
5,0.3834599655729295,UBA629_sp005465875_1,24,1,15
3,0.2995183160310313,Gardnerella_vaginalis_2,24,1,16
1,0.2454554787606375,MultiGenera,24,1,17
10,0.8405851111556855,Lactobacillus_crispatus_1,24,2,1
11,0.8117584386405232,Lactobacillus_crispatus_2,24,2,2
7,0.8643502635506987,Lactobacillus_crispatus_3,24,2,3
17,0.832163497025845,Lactobacillus_crispatus_4,24,2,4
19,0.8019165833754756,Lactobacillus_crispatus_5,24,2,5
14,0.8724524352608115,Lactobacillus_crispatus_6,24,2,6
18,0.7851632977693439,Lactobacillus_crispatus_7,24,2,7
16,0.8615226336749823,Lactobacillus_crispatus_8,24,2,8
8,0.5393181463996819,Lactobacillus_iners_1,24,2,9
4,0.6423276083559297,Lactobacillus_iners_2,24,2,10
6,0.6437070109366928,Lactobacillus_iners_4,24,2,11
12,0.732481416653051,Lactobacillus_iners_5,24,2,12
9,0.6937091744137587,Lactobacillus_iners_6,24,2,13
20,0.7592623851065965,Lactobacillus_iners_7,24,2,14
5,0.3834599655729295,UBA629_sp005465875_1,24,2,15
15,0.4658780758653562,Gardnerella_vaginalis_2,24,2,16
13,0.2719429812326088,Gardnerella_swidsinkii_1,24,2,17
3,0.26770508568279994,Gardnerella_swidsinkii_2,24,2,18
2,0.48895663520105925,Lactobacillus_paragasseri,24,2,19
1,0.2454554787606375,MultiGenera,24,2,20
12,0.8405851111556855,Lactobacillus_crispatus_1,24,3,1
13,0.8117584386405232,Lactobacillus_crispatus_2,24,3,2
9,0.8643502635506987,Lactobacillus_crispatus_3,24,3,3
20,0.832163497025845,Lactobacillus_crispatus_4,24,3,4
23,0.8019165833754756,Lactobacillus_crispatus_5,24,3,5
17,0.8724524352608115,Lactobacillus_crispatus_6,24,3,6
22,0.7851632977693439,Lactobacillus_crispatus_7,24,3,7
19,0.8615226336749823,Lactobacillus_crispatus_8,24,3,8
7,0.5701367268045346,Lactobacillus_gasseri_2,24,3,9
10,0.5393181463996819,Lactobacillus_iners_1,24,3,10
3,0.6423276083559297,Lactobacillus_iners_2,24,3,11
8,0.6437070109366928,Lactobacillus_iners_4,24,3,12
14,0.732481416653051,Lactobacillus_iners_5,24,3,13
11,0.6937091744137587,Lactobacillus_iners_6,24,3,14
