Subspecies,Color
Gemella_haemolysans.2,#8c8c8c
Gulosibacter,#8c8c8c
KA00274_sp902373515.1,#8c8c8c
KA00274_sp902373515.2,#8c8c8c
KA00274_sp902373515.3,#8c8c8c
KA00274_sp902373515.4,#8c8c8c
KA00274_sp902373515.5,#8c8c8c
KA00274_sp902373515.6,#8c8c8c
KA00274_sp902373515.7,#8c8c8c
KA00274_sp902373515.8,#8c8c8c
KA00274_sp902373515.9,#8c8c8c
KA00274_sp902373515.10,#8c8c8c
Lactobacillus_crispatus.1,#FF0000
Lactobacillus_crispatus.2,#FF3333
Lactobacillus_crispatus.3,#FF6666
Lactobacillus_crispatus.4,#FF9999
Lactobacillus_crispatus.5,#FFCCCC
Lactobacillus_gasseri.1,#86BF4D
Lactobacillus_gasseri.2,#A4CF79
Lactobacillus_gasseri.3,#C2DFA6
Lactobacillus_gasseri.4,#E0EFD2
Lactobacillus_iners.1,#FF8C00
Lactobacillus_iners.2,#FFC57F
Lactobacillus_jensenii.1,#FAE50D
Lactobacillus_jensenii.2,#FBEA3D
Lactobacillus_jensenii.3,#FCEF6D
Lactobacillus_jensenii.4,#FDF49E
Lactobacillus_jensenii.5,#FEF9CE
Lactobacillus_mulieris.1,#A16060
Lactobacillus_mulieris.2,#B37F7F
Lactobacillus_mulieris.3,#C69F9F
Lactobacillus_mulieris.4,#D9BFBF
Lactobacillus_mulieris.5,#ECDFDF
Lawsonella_clevelandensis.1,#8c8c8c
Lawsonella_clevelandensis.2,#8c8c8c
Limosilactobacillus,#8c8c8c
Limosilactobacillus_coleohominis.1,#8c8c8c
Limosilactobacillus_coleohominis.2,#8c8c8c
Limosilactobacillus_coleohominis.3,#8c8c8c
Mageeibacillus_indolicus.1,#8c8c8c
Mageeibacillus_indolicus.2,#8c8c8c
Mageeibacillus_indolicus.3,#8c8c8c
Mageeibacillus_indolicus.4,#8c8c8c
Mageeibacillus_indolicus.5,#8c8c8c
Mageeibacillus_indolicus.6,#8c8c8c
Mageeibacillus_indolicus.7,#8c8c8c
Malacoplasma_girerdii.1,#8c8c8c
Malacoplasma_girerdii.2,#8c8c8c
Megasphaera_hutchinsoni.1,#8c8c8c
Megasphaera_hutchinsoni.2,#8c8c8c
Megasphaera_hutchinsoni.3,#8c8c8c
Megasphaera_hutchinsoni.4,#8c8c8c
Megasphaera_lornae.1,#008B45
Megasphaera_lornae.2,#55B183
Megasphaera_lornae.3,#AAD8C1
Metamycoplasma_hominis.1,#8c8c8c
Metamycoplasma_hominis.2,#8c8c8c
Metamycoplasma_hominis.3,#8c8c8c
Metamycoplasma_hominis.4,#8c8c8c
Metamycoplasma_hominis.5,#8c8c8c
Metamycoplasma_hominis.6,#8c8c8c
Metamycoplasma_hominis.7,#8c8c8c
Metamycoplasma_hominis.8,#8c8c8c
Metamycoplasma_hominis.9,#8c8c8c
Metamycoplasma_hominis.10,#8c8c8c
Mobiluncus_curtisii.1,#8c8c8c
Mobiluncus_curtisii.2,#8c8c8c
Mobiluncus_mulieris.1,#F08080
Mobiluncus_mulieris.2,#F29292
Mobiluncus_mulieris.3,#F4A4A4
Mobiluncus_mulieris.4,#F6B6B6
Mobiluncus_mulieris.5,#F8C8C8
Mobiluncus_mulieris.6,#FADADA
Mobiluncus_mulieris.7,#FCECEC
MultiGenera,#8c8c8c
Nakaseomyces_glabratus,#8c8c8c
Nanoperiomorbus_sp004136275.1,#613B1A
Nanoperiomorbus_sp004136275.2,#957C66
Nanoperiomorbus_sp004136275.3,#CABDB2
Olegusella_massiliensis.1,#8c8c8c
Olegusella_massiliensis.2,#8c8c8c
Oligella_urethralis,#8c8c8c
Parvimonas_sp001552895.1,#8c8c8c
Parvimonas_sp001552895.2,#8c8c8c
Parvimonas_sp001552895.3,#8c8c8c
Parvimonas_sp001552895.4,#8c8c8c
Pauljensenia_turicensis.1,#8c8c8c
Pauljensenia_turicensis.2,#8c8c8c
Peptoniphilus_harei.1,#8c8c8c
Peptoniphilus_harei.2,#8c8c8c
Porphyromonas,#8c8c8c
Porphyromonas_asaccharolytica,#8c8c8c
Porphyromonas_sp001552775.1,#8c8c8c
