Subspecies,Color
Prevotella_sp000758925.2,#7A7C57
Prevotella_sp000758925.3,#898B6A
Prevotella_sp000758925.4,#98997C
Prevotella_sp000758925.5,#A6A88F
Prevotella_sp000758925.6,#B5B6A2
Prevotella_sp000758925.7,#C4C5B4
Prevotella_sp000758925.8,#D2D3C7
Prevotella_sp000758925.9,#E1E2D9
Prevotella_sp000758925.10,#F0F0EC
Prevotella_spNov3.1,#684A6B
Prevotella_spNov3.2,#B3A4B5
Prevotella_timonensis.1,#F8FCA9
Prevotella_timonensis.2,#F8FCB2
Prevotella_timonensis.3,#F9FCBC
Prevotella_timonensis.4,#FAFDC5
Prevotella_timonensis.5,#FBFDCF
Prevotella_timonensis.6,#FBFDD8
Prevotella_timonensis.7,#FCFEE2
Prevotella_timonensis.8,#FDFEEB
Prevotella_timonensis.9,#FEFEF5
Propionimicrobium_lymphophilum,#8c8c8c
Sneathia_sanguinegens.1,#8c8c8c
Sneathia_sanguinegens.2,#8c8c8c
Sneathia_sanguinegens.3,#8c8c8c
Sneathia_sanguinegens.4,#8c8c8c
Sneathia_sanguinegens.5,#8c8c8c
Sneathia_sanguinegens.6,#8c8c8c
Sneathia_sanguinegens.7,#8c8c8c
Sneathia_sanguinegens.8,#8c8c8c
Sneathia_sanguinegens.9,#8c8c8c
Sneathia_sanguinegens.10,#8c8c8c
Sneathia_sanguinegens.11,#8c8c8c
Sneathia_sanguinegens.12,#8c8c8c
Sneathia_vaginalis.1,#6963FF
Sneathia_vaginalis.2,#7974FF
Sneathia_vaginalis.3,#8A85FF
Sneathia_vaginalis.4,#9B97FF
Sneathia_vaginalis.5,#ABA8FF
Sneathia_vaginalis.6,#BCB9FF
Sneathia_vaginalis.7,#CDCBFF
Sneathia_vaginalis.8,#DDDCFF
Sneathia_vaginalis.9,#EEEDFF
Sodaliphilus_spNov1,#8c8c8c
Staphylococcus_aureus,#8c8c8c
Staphylococcus_epidermidis.1,#8c8c8c
Staphylococcus_epidermidis.2,#8c8c8c
Stomatobaculum_sp002892395.1,#8c8c8c
Stomatobaculum_sp002892395.2,#8c8c8c
Stomatobaculum_sp002892395.3,#8c8c8c
Streptococcus,#8c8c8c
Streptococcus_agalactiae.1,#C43DB0
Streptococcus_agalactiae.2,#D77DCA
Streptococcus_agalactiae.3,#EBBEE4
Streptococcus_anginosus.1,#FFBAF8
Streptococcus_anginosus.2,#FFD1FA
Streptococcus_anginosus.3,#FFE8FC
Streptococcus_mitis.1,#C771BA
Streptococcus_mitis.2,#D9A0D1
Streptococcus_mitis.3,#ECCFE8
Streptococcus_salivarius,#8c8c8c
Sutterella_spNov1,#8c8c8c
UBA629_sp005465875.1,#448A73
UBA629_sp005465875.2,#69A18F
UBA629_sp005465875.3,#8EB8AB
UBA629_sp005465875.4,#B4D0C7
UBA629_sp005465875.5,#D9E7E3
Ureaplasma_parvum.1,#8c8c8c
Ureaplasma_parvum.2,#8c8c8c
Ureaplasma_parvum.3,#8c8c8c
Ureaplasma_parvum.4,#8c8c8c
Ureaplasma_parvum.5,#8c8c8c
Ureaplasma_parvum.6,#8c8c8c
Ureaplasma_parvum.7,#8c8c8c
Ureaplasma_urealyticum.1,#8c8c8c
Ureaplasma_urealyticum.2,#8c8c8c
Varibaculum_cambriense.1,#8c8c8c
Varibaculum_cambriense.2,#8c8c8c
Varibaculum_cambriense.3,#8c8c8c
Veillonella_montpellierensis.1,#8c8c8c
Veillonella_montpellierensis.2,#8c8c8c
Winkia_neuii,#8c8c8c
